Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Source_File,condition,genotype/variation,strain/background,AssemblyName,intentional_duplicate (run),dangling_references (run),BioSampleModel,dev_stage,Ecotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Library Name,cell_type,Development_stage,ecotype_background,genotype/varaition,genotype,treatment,Developmental_Stage,Experiment.1,strain,number_of_nuclei,plate/batch,days_after_pollination,fans_peak,female_parent,male_parent,ecotype/background,use_for_atlas,ID,Sample name,Accession,Public description,Project accession,Sample title,Cultivar,Biomaterial provider,Tissue,Age,Age unit,Dev stage,Cell line,Cell type,Collected by,Collection date,Culture collection,Disease,Disease stage,Genotype,Growth protocol,Height length,Isolation source,Latitude longitude,Phenotype,Population,Type,Sex,Specimen voucher,Temperature,Treatment,Study_Title
SRR12046123,,RNA-Seq,127.0,30372260820.0,PRJNA640389,SAMN15315805,9934282566.0,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8574746,GSM4626011,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T16:27:00Z,1.0,GSM4626011,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046059,,RNA-Seq,127.0,29790789669.0,PRJNA640389,SAMN15315802,9874000354.0,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8574732,GSM4625997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T11:15:00Z,1.0,GSM4625997,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8257100,,RNA-Seq,144.0,27264659616.0,PRJNA507252,SAMN10486318,15613013096.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5074330,GSM3490689,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-02-06T00:00:00Z,2018-11-29T07:37:00Z,1.0,GSM3490689,WT_protoplasts from roots,SRP171040,root,SraRunTable.csv,,,,,,,,,,,,,,protoplasts,5 day after germination,Columbia-0,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8257101,,RNA-Seq,144.0,27127210608.0,PRJNA507252,SAMN10486318,15541179372.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5074330,GSM3490689,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-02-06T00:00:00Z,2018-11-29T09:34:00Z,1.0,GSM3490689,WT_protoplasts from roots,SRP171040,root,SraRunTable.csv,,,,,,,,,,,,,,protoplasts,5 day after germination,Columbia-0,wild type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8257104,,RNA-Seq,144.0,26764312896.0,PRJNA507252,SAMN10486315,15381736992.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5074333,GSM3490692,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-02-06T00:00:00Z,2018-11-29T07:18:00Z,1.0,GSM3490692,rhd6-1_protoplasts from roots,SRP171040,root,SraRunTable.csv,,,,,,,,,,,,,,protoplasts,5 day after germination,mixed Columbia/Ws background,rhd6 mutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8257105,,RNA-Seq,144.0,26625107952.0,PRJNA507252,SAMN10486315,15316096788.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5074333,GSM3490692,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-02-06T00:00:00Z,2018-11-29T13:39:00Z,1.0,GSM3490692,rhd6-1_protoplasts from roots,SRP171040,root,SraRunTable.csv,,,,,,,,,,,,,,protoplasts,5 day after germination,mixed Columbia/Ws background,rhd6 mutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614004,1.25-days-old,RNA-Seq,199.0,26467025870.0,PRJNA938501,SAMN33438495,8326629400.0,GEO,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX19498719,GSM7063701,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:26:00Z,1.0,GSM7063701,Germinating seeds,SRP424479,Germinating seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614005,1.25-days-old,RNA-Seq,199.0,26404402560.0,PRJNA938501,SAMN33438495,8292689489.0,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498719,GSM7063701,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-03-04T14:59:00Z,1.0,GSM7063701,Germinating seeds,SRP424479,Germinating seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614007,1.25-days-old,RNA-Seq,199.0,26396808919.0,PRJNA938501,SAMN33438495,8261580979.0,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498719,GSM7063701,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:23:00Z,1.0,GSM7063701,Germinating seeds,SRP424479,Germinating seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614006,1.25-days-old,RNA-Seq,199.0,26378908869.0,PRJNA938501,SAMN33438495,8272272014.0,GEO,public,"sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498719,GSM7063701,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:17:00Z,1.0,GSM7063701,Germinating seeds,SRP424479,Germinating seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10136142,6-day-old seedlings,RNA-Seq,98.0,25579277332.0,PRJNA509920,SAMN10590309,8903662943.0,GEO,public,"TenX,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5128615,GSM3511858,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-09-18T00:00:00Z,2019-09-18T13:15:00Z,1.0,GSM3511858,Root,SRP173393,Root,SraRunTable (2).csv,Protoplasted,Wild type,Col-0,TAIR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614089,12-days-old,RNA-Seq,199.0,25255227111.0,PRJNA938501,SAMN33438473,7741354114.0,GEO,public,"sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498728,GSM7063734,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:00:00Z,1.0,GSM7063734,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614086,12-days-old,RNA-Seq,199.0,25241180099.0,PRJNA938501,SAMN33438473,7769963581.0,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498728,GSM7063734,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:55:00Z,1.0,GSM7063734,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614088,12-days-old,RNA-Seq,199.0,25229879685.0,PRJNA938501,SAMN33438473,7743415561.0,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498728,GSM7063734,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:37:00Z,1.0,GSM7063734,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614087,12-days-old,RNA-Seq,199.0,24933949372.0,PRJNA938501,SAMN33438473,7695031250.0,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498728,GSM7063734,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:33:00Z,1.0,GSM7063734,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046119,,RNA-Seq,127.0,24564709570.0,PRJNA640389,SAMN15315807,8688055266.0,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8574744,GSM4626009,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T11:32:00Z,1.0,GSM4626009,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614148,12-days-old,RNA-Seq,199.0,24427588300.0,PRJNA938501,SAMN33438553,7455499524.0,GEO,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498769,GSM7063719,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:59:00Z,1.0,GSM7063719,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046120,,RNA-Seq,127.0,24424497633.0,PRJNA640389,SAMN15315807,9241557213.0,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8574744,GSM4626009,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T11:40:00Z,1.0,GSM4626009,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614149,12-days-old,RNA-Seq,199.0,24364233665.0,PRJNA938501,SAMN33438553,7427053995.0,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498769,GSM7063719,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:56:00Z,1.0,GSM7063719,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614146,12-days-old,RNA-Seq,199.0,24301749655.0,PRJNA938501,SAMN33438553,7439584811.0,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498769,GSM7063719,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:33:00Z,1.0,GSM7063719,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614147,12-days-old,RNA-Seq,199.0,24099301184.0,PRJNA938501,SAMN33438553,7388507186.0,GEO,public,"fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498769,GSM7063719,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:34:00Z,1.0,GSM7063719,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046057,,RNA-Seq,127.0,23330998296.0,PRJNA640389,SAMN15315802,7708373533.0,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8574732,GSM4625997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T07:09:00Z,1.0,GSM4625997,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046058,,RNA-Seq,127.0,23178616711.0,PRJNA640389,SAMN15315802,7660659036.0,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8574732,GSM4625997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T06:41:00Z,1.0,GSM4625997,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046066,,RNA-Seq,127.0,23177521971.0,PRJNA640389,SAMN15315819,7572585929.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8574735,GSM4626000,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T10:25:00Z,1.0,GSM4626000,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,scr-4,,,,,,,,,,,Landsberg background backcrossed to Col-0 at least 5 times,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10136143,6-day-old seedlings,RNA-Seq,98.0,23114632310.0,PRJNA509920,SAMN10590318,8092480107.0,GEO,public,"run.zq,sra,TenX","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5128616,GSM3511859,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-09-18T00:00:00Z,2019-09-18T13:13:00Z,1.0,GSM3511859,Root,SRP173393,Root,SraRunTable (2).csv,Protoplasted,Wild type,Col-0 pMIR166A:erGFP endodermal reporter line,TAIR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614105,6-days-old,RNA-Seq,199.0,22479922764.0,PRJNA938501,SAMN33438477,6845943669.0,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498748,GSM7063738,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:18:00Z,1.0,GSM7063738,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614104,6-days-old,RNA-Seq,199.0,22409565916.0,PRJNA938501,SAMN33438477,6837528904.0,GEO,public,"sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19498748,GSM7063738,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:29:00Z,1.0,GSM7063738,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614102,6-days-old,RNA-Seq,199.0,22403102197.0,PRJNA938501,SAMN33438477,6854896147.0,GEO,public,"fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498748,GSM7063738,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:20:00Z,1.0,GSM7063738,Seedling,SRP424479,Seedling,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046065,,RNA-Seq,127.0,22223527435.0,PRJNA640389,SAMN15315819,7290616827.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8574735,GSM4626000,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T06:31:00Z,1.0,GSM4626000,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,scr-4,,,,,,,,,,,Landsberg background backcrossed to Col-0 at least 5 times,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
